Pairs,Frequency,Dates
15-78,7,"2021/5/18,2020/9/12,2019/6/6,2019/3/9,2015/3/31,2010/6/1,2009/1/10"
5-44,8,"2021/8/31,2018/8/2,2018/4/19,2016/6/28,2016/5/28,2013/12/14,2011/6/7,2010/12/23"
18-26-61,2,"2015/7/30,2010/3/20"
29-39-55,2,"2020/6/20,2011/6/11"
38-39,9,"2022/9/20,2022/8/9,2020/9/3,2020/3/21,2014/3/18,2012/8/16,2012/5/29,2011/8/25,2010/4/15"
68-73-76,3,"2017/9/5,2013/3/28,2011/1/8"
14-31-74,2,"2015/8/20,2011/8/13"
9-12-27-32-45-77,1,2017/1/3
2-45-84,2,"2012/7/24,2009/5/2"
13-46-48,2,"2013/10/31,2012/6/26"
25-72-89,2,"2016/8/13,2012/5/31"
52-54-70,2,"2015/11/24,2014/2/25"
17-46,4,"2022/4/21,2019/6/1,2017/12/30,2016/1/14"
24-79,6,"2014/12/30,2014/12/11,2014/10/16,2011/4/14,2010/9/18,2010/6/8"
27-70,4,"2020/5/30,2018/8/18,2013/12/19,2012/7/14"
10-27-34,2,"2016/2/16,2009/8/17"
27-57,6,"2017/2/2,2013/3/14,2011/7/12,2011/2/19,2010/7/31,2009/8/17"
54-65-70,3,"2016/12/10,2013/5/7,2010/11/23"
19-20-22-54-72-88,1,2022/7/28
44-50,6,"2020/2/29,2019/9/21,2018/6/12,2014/5/5,2011/9/1,2009/3/17"
40-44-53,2,"2021/1/28,2014/10/18"
39-69-70,3,"2019/6/22,2018/12/18,2013/12/28"
1-58-68,2,"2021/4/20,2020/2/22"
11-25-37-67-75-85,1,2019/5/16
6-26-52,2,"2015/10/31,2012/12/20"
61-79,11,"2021/12/21,2020/10/3,2020/6/30,2019/11/23,2015/6/11,2014/6/21,2014/3/6,2014/2/6,2013/5/30,2010/12/7,2009/2/7"
56-67-82,2,"2016/7/14,2010/9/4"
29-38-47-61-68-86,1,2020/10/15
31-57-88,2,"2018/2/10,2010/10/19"
4-27-34,2,"2009/8/17,2009/4/4"
15-71,5,"2022/1/11,2018/1/25,2016/12/3,2016/5/19,2013/6/20"
33-40-80,2,"2022/3/3,2019/7/27"
7-19-65,2,"2011/3/24,2010/8/7"
46-69,10,"2020/8/6,2017/9/23,2017/8/17,2016/2/4,2014/5/5,2012/3/3,2010/10/23,2010/9/21,2010/6/17,2010/4/13"
28-42-78,2,"2019/3/14,2014/3/25"
46-62-71,2,"2018/12/29,2009/4/18"
21-65,11,"2022/2/3,2020/5/12,2019/1/31,2018/9/27,2015/7/25,2015/6/20,2015/5/21,2013/5/9,2012/3/20,2011/8/6,2011/7/28"
47-82,6,"2019/6/15,2018/10/2,2014/7/5,2011/6/23,2010/7/24,2009/6/16"
25-39-51,2,"2019/12/12,2009/11/17"
1-26-45-58-66-88,1,2011/10/8
41-51-85,2,"2020/6/25,2020/5/19"
63-71-89,2,"2022/4/19,2015/10/13"
30-44-47,2,"2018/12/6,2015/4/9"
2-5-20-43-64-83,1,2009/4/14
26-38,4,"2022/8/9,2019/5/9,2010/11/16,2009/10/24"
26-76,7,"2019/6/20,2019/2/7,2013/4/13,2012/7/7,2011/1/8,2010/11/16,2010/1/7"
21-26-33-35-63-89,1,2019/1/17
34-70-90,2,"2010/5/15,2009/9/26"
47-66,11,"2022/5/3,2022/3/10,2019/11/30,2016/8/30,2015/12/12,2015/1/27,2014/5/15,2013/5/28,2013/4/11,2010/8/12,2010/1/14"
43-60,11,"2021/5/4,2019/12/14,2019/9/17,2017/5/2,2017/1/26,2016/9/1,2015/2/3,2014/8/30,2013/12/17,2012/2/2,2010/5/25"
25-40,5,"2021/7/24,2018/6/19,2016/8/4,2011/2/15,2009/1/3"
11-63-68,3,"2022/7/12,2014/4/17,2010/1/21"
31-51-84,2,"2021/3/11,2012/12/29"
27-49-69,2,"2015/7/16,2013/4/18"
2-19-77,3,"2018/7/14,2014/8/5,2009/8/18"
31-33-40-43-47-80,1,2022/3/3
22-52-65,2,"2018/3/8,2014/4/10"
13-53,4,"2015/11/21,2014/11/27,2013/4/23,2011/11/19"
7-29,6,"2020/3/19,2019/11/16,2019/4/4,2018/7/24,2010/4/8,2009/7/9"
48-52-90,3,"2016/1/16,2010/11/25,2010/3/9"
34-54-74,2,"2010/11/13,2009/12/3"
72-77,9,"2021/10/9,2018/3/1,2015/4/7,2015/2/10,2014/2/15,2012/8/7,2012/1/7,2010/8/28,2009/3/28"
2-9,9,"2022/5/19,2021/6/12,2021/6/8,2020/11/26,2020/9/15,2018/7/14,2018/6/16,2011/12/31,2011/9/10"
6-14-39-47-63-82,1,2009/6/16
5-17,8,"2020/10/3,2018/4/19,2018/2/17,2018/2/15,2017/11/30,2016/5/28,2016/1/14,2014/7/15"
8-30,6,"2020/6/9,2019/5/28,2015/7/11,2015/7/4,2015/7/2,2010/3/30"
36-55-63,3,"2017/9/16,2013/11/16,2013/7/9"
1-67-83,2,"2016/4/14,2012/3/15"
6-60-71,2,"2012/5/10,2010/5/25"
40-50,10,"2022/9/20,2021/7/24,2018/11/5,2017/3/9,2015/8/27,2011/5/5,2009/9/22,2009/8/11,2009/2/21,2009/1/7"
32-33-84,2,"2015/10/8,2014/5/29"
4-20-64-65-69-79,1,2022/10/13
43-59,12,"2022/11/3,2022/10/22,2022/3/31,2021/6/24,2021/3/13,2019/2/21,2018/10/30,2017/5/2,2016/7/5,2016/3/22,2014/7/8,2009/3/21"
10-37-42-69-72-86,1,2021/2/27
25-62-80,2,"2022/7/30,2011/3/15"
19-26-44,2,"2022/9/24,2018/1/2"
32-56-61,2,"2020/2/8,2009/7/18"
6-45,14,"2022/8/30,2021/11/25,2019/6/29,2018/3/31,2017/11/4,2017/10/24,2016/10/22,2015/5/2,2012/12/1,2012/5/22,2011/9/22,2011/9/15,2011/7/2,2010/4/24"
39-56,9,"2021/3/2,2018/8/4,2017/9/9,2016/1/2,2015/5/30,2015/4/27,2014/6/7,2012/2/18,2010/11/2"
7-71-88,2,"2013/2/5,2012/8/25"
9-16-19-35-41-59,1,2017/10/12
63-81-85,2,"2021/11/6,2016/7/12"
60-72-85,2,"2014/5/3,2009/9/15"
19-55-84,2,"2013/8/29,2010/5/3"
8-51,12,"2021/9/23,2020/10/8,2019/10/26,2019/3/7,2019/1/15,2017/11/9,2016/3/8,2015/7/4,2013/1/22,2011/8/11,2010/12/21,2009/8/4"
44-54,11,"2021/8/28,2020/9/15,2018/8/25,2016/6/25,2015/1/31,2014/5/5,2013/10/19,2011/10/15,2011/6/7,2011/1/7,2010/3/23"
2-29-53,2,"2011/9/10,2009/3/31"
52-59-69,2,"2020/6/23,2019/3/21"
21-66-85,2,"2021/10/5,2015/6/20"
14-74-78,2,"2014/1/18,2011/8/13"
5-48-87,2,"2015/2/28,2015/2/21"
6-34-87,2,"2022/8/11,2013/5/25"
17-71,12,"2021/11/16,2020/7/14,2020/2/27,2019/8/19,2019/4/27,2017/10/19,2016/10/11,2016/3/22,2016/2/11,2015/8/11,2013/3/30,2011/6/25"
22-49-89,2,"2018/1/30,2011/7/9"
19-22-31-38-87-89,1,2014/3/22
4-19-68,2,"2018/9/1,2009/10/1"
15-50-83,2,"2019/9/10,2015/10/27"
15-67-78,2,"2020/9/12,2010/6/1"
2-41,8,"2022/6/4,2018/4/28,2018/1/13,2016/11/17,2014/8/5,2013/6/11,2011/10/27,2011/6/21"
2-6-27-29-38-55,1,2011/8/16
17-39,8,"2020/9/3,2020/8/20,2017/3/9,2016/1/2,2012/6/30,2009/9/10,2009/6/9,2009/5/21"
50-57-83,3,"2011/8/27,2010/5/18,2009/11/21"
27-50-69,2,"2014/6/12,2014/5/5"
54-57-87,2,"2021/7/15,2019/1/8"
8-39-59-65-82-83,1,2016/8/18
17-53-74,2,"2016/2/11,2011/7/16"
53-66-83,3,"2014/5/27,2012/11/15,2009/12/17"
36-50-66,3,"2021/2/6,2020/12/19,2019/12/21"
24-70-84,2,"2020/8/25,2013/1/15"
19-41-48,2,"2022/10/25,2013/3/16"
61-77,9,"2019/3/16,2016/10/13,2016/8/6,2016/8/4,2013/5/30,2010/10/16,2009/11/26,2009/8/8,2009/3/28"
29-59-74,3,"2022/2/22,2021/9/21,2015/11/17"
45-84-88,2,"2021/11/25,2012/7/24"
26-51,10,"2022/10/8,2020/5/19,2017/11/16,2017/7/22,2017/3/4,2016/2/18,2016/1/9,2014/2/25,2012/3/27,2012/3/1"
21-72-80,2,"2018/7/26,2013/2/12"
9-14-33-38-46-87,1,2015/10/24
8-47-72,2,"2021/4/22,2009/10/17"
31-33-38-58-76-85,1,2016/12/29
4-15-41-52-76-85,1,2019/5/4
4-13-16-21-23-50,1,2022/1/25
52-77-90,2,"2012/10/25,2012/6/19"
1-10-28,2,"2019/3/30,2014/7/26"
18-52-75,2,"2011/9/27,2010/7/3"
27-47,8,"2022/2/12,2019/3/26,2017/7/15,2015/4/23,2013/3/21,2013/3/14,2012/4/19,2011/6/23"
1-10-55-61-72-77,1,2009/3/28
10-90,6,"2015/5/12,2012/5/24,2011/12/6,2011/8/4,2011/1/18,2009/3/12"
53-82,4,"2019/10/24,2018/11/17,2016/11/24,2014/9/6"
10-14-25-43-54-65,1,2021/6/15
38-77-89,2,"2012/5/15,2010/7/1"
27-52-89,2,"2022/4/9,2016/3/8"
5-87,5,"2019/4/20,2016/1/14,2015/2/28,2015/2/21,2013/4/6"
37-58-60,2,"2020/11/12,2012/2/2"
7-31-35-57-88-89,1,2018/2/10
54-59,11,"2020/12/28,2019/10/15,2019/7/9,2017/6/8,2016/5/12,2016/4/9,2015/11/17,2015/7/9,2015/1/31,2014/2/27,2009/10/29"
18-64-88,2,"2015/10/20,2010/9/2"
11-70,12,"2018/2/13,2017/9/7,2016/9/29,2016/1/16,2014/10/4,2014/7/12,2014/6/5,2014/4/24,2013/8/31,2012/11/20,2009/12/29,2009/11/7"
35-44-57-58-87-88,1,2013/9/10
6-7-57-61-79-89,1,2020/6/30
31-32-46-54-73-90,1,2018/8/9
65-90,12,"2022/5/28,2022/4/28,2021/7/20,2019/11/5,2019/1/29,2016/10/20,2016/8/11,2015/3/24,2012/6/19,2011/8/6,2011/5/24,2009/10/8"
26-78-80,2,"2014/2/20,2011/8/20"
1-22-73,2,"2013/1/10,2009/5/14"
24-30-42-54-84-85,1,2010/10/9
9-28-81,2,"2020/6/1,2019/10/22"
60-87,5,"2021/11/20,2016/1/26,2013/12/31,2012/12/18,2009/7/9"
16-64-65,2,"2017/5/27,2016/9/10"
10-43-54,2,"2021/6/15,2013/1/2"
6-12-15-30-31-89,1,2018/11/27
29-60,5,"2019/11/21,2017/8/19,2015/2/3,2011/10/18,2009/7/9"
7-26-31-34-52-54,1,2019/9/5
21-35-63-79,2,"2019/11/26,2010/8/31"
3-27-46-52-70-74,1,2020/5/30
1-39,12,"2022/10/11,2022/9/20,2021/4/3,2020/6/16,2018/8/28,2017/1/5,2016/1/2,2013/10/8,2013/8/24,2013/6/13,2011/1/4,2009/3/19"
12-46,12,"2022/6/21,2021/9/16,2020/10/10,2018/3/6,2017/11/9,2017/6/6,2015/5/7,2014/6/7,2012/9/13,2011/1/25,2010/10/23,2009/7/2"
2-77-84,2,"2012/7/24,2009/7/30"
8-44-77,2,"2022/7/26,2016/11/22"
18-39-45,2,"2020/11/3,2011/8/25"
27-48,7,"2021/8/24,2021/1/30,2018/1/20,2017/11/28,2017/9/21,2014/6/10,2011/2/19"
5-16-33-48-57-87,1,2015/2/21
6-48-76,2,"2017/3/11,2009/7/16"
17-19-28-41-49-86,1,2020/10/24
15-33-46,2,2015/3/31
3-6-90,2,"2017/3/28,2011/5/12"
54-82,15,"2022/6/16,2019/5/9,2018/11/17,2017/8/1,2017/7/8,2017/6/20,2017/4/27,2015/12/9,2015/11/24,2014/12/6,2013/6/29,2012/6/9,2010/11/23,2010/9/4,2010/7/24"
32-41-56,2,"2022/3/12,2017/11/21"
4-17-34-41-66-78,1,2015/8/13
25-44-45-52-68-81,1,2013/4/9
1-34,9,"2022/7/2,2021/8/7,2018/2/3,2016/5/26,2015/12/5,2013/9/17,2012/11/10,2012/3/15,2011/7/7"
9-12-90,2,"2016/11/12,2014/2/6"
1-26-88,2,"2020/7/9,2011/10/8"
14-23-45,2,"2015/6/4,2011/4/21"
17-32-47,2,"2018/12/11,2015/7/14"
57-72,8,"2021/5/3,2019/11/14,2018/3/1,2017/10/26,2015/12/29,2013/7/16,2012/8/7,2010/7/6"
4-70,6,"2020/9/26,2018/6/23,2016/7/7,2015/8/20,2015/8/17,2014/5/6"
25-58-64,2,"2016/12/27,2009/1/3"
15-19,6,"2021/5/18,2020/10/10,2020/7/30,2013/6/15,2010/10/14,2009/8/29"
27-65,7,"2022/5/28,2021/1/30,2021/1/19,2014/2/11,2012/12/20,2012/9/13,2009/1/29"
25-66,8,"2022/7/7,2022/7/2,2022/1/10,2019/2/26,2016/6/23,2016/5/10,2012/5/31,2010/5/6"
19-32-33-57-65-75,1,2013/5/2
7-20-25-32-75-90,1,2016/5/5
28-42-62-64-79-80,1,2014/11/15
19-45-82,3,"2020/8/4,2017/5/11,2010/5/3"
50-66-90,2,"2019/12/21,2010/8/24"
8-87,8,"2020/6/9,2019/7/30,2019/1/15,2018/2/3,2016/6/4,2016/1/14,2013/4/6,2012/11/3"
10-44-49,2,"2018/12/6,2016/8/20"
24-55,8,"2020/11/21,2020/10/17,2018/9/18,2017/12/18,2011/12/6,2011/11/29,2010/9/30,2009/1/15"
54-77,3,"2021/8/28,2018/9/29,2012/7/12"
7-63,4,"2021/5/22,2021/4/17,2018/4/5,2015/3/12"
32-58-63-70-75-81,1,2012/6/7
6-17-23-46-52-53,1,2017/12/30
45-48-71-75-80-83,1,2017/6/17
2-27-39,2,"2015/8/6,2013/8/24"
21-73-84,2,"2017/8/29,2014/11/8"
5-49-71-83-85-88,1,2010/9/16
17-74,10,"2020/7/14,2019/11/28,2017/4/24,2016/2/11,2015/10/1,2015/7/14,2013/3/30,2011/7/16,2011/4/9,2009/9/22"
54-70-88,2,"2014/2/25,2012/4/12"
9-42-79,2,"2016/1/12,2015/9/17"
16-52-69,2,"2022/2/24,2011/3/18"
31-73-76,2,"2020/5/28,2014/8/21"
38-46-47,2,"2010/6/3,2009/7/2"
19-22-41,4,"2020/3/12,2015/11/12,2014/8/5,2012/8/14"
22-58,9,"2020/8/18,2020/8/8,2017/1/10,2014/12/23,2014/11/22,2012/7/21,2011/7/9,2011/3/12,2011/3/8"
10-28-29,2,"2016/7/19,2014/7/26"
6-35-53,3,"2013/2/16,2011/3/18,2009/7/4"
36-44,5,"2019/9/21,2018/12/27,2014/10/28,2013/10/19,2011/12/22"
37-51-82,2,"2017/5/11,2010/7/24"
11-21-75,2,"2018/6/5,2013/2/23"
46-68-76,2,"2019/1/5,2017/4/1"
13-30-46-48-70-88,1,2012/6/26
24-27,4,"2017/11/18,2015/2/7,2013/8/1,2012/10/16"
9-21-27-41-45-53,1,2021/6/1
9-16-18-22-65-71,1,2016/3/10
44-48-73,2,"2016/10/18,2014/2/1"
31-58-85,4,"2022/8/20,2016/12/29,2015/12/1,2012/5/22"
1-28,9,"2020/2/22,2019/5/2,2019/4/9,2019/3/30,2018/2/3,2017/8/1,2015/12/5,2014/7/26,2012/9/22"
63-84,6,"2019/10/1,2018/9/11,2016/3/31,2015/12/15,2015/7/21,2012/1/12"
21-35-36,3,"2013/4/16,2012/9/15,2011/6/9"
17-67-81,2,"2012/7/28,2012/3/13"
7-80,5,"2022/7/30,2021/9/4,2020/8/11,2018/12/1,2013/2/5"
3-14-25-43-74-80,1,2019/12/19
18-39-64,2,"2020/11/3,2013/2/2"
18-33-71,2,"2022/4/23,2016/5/31"
35-63-76-79,2,"2019/11/26,2017/3/21"
17-85,6,"2017/7/18,2017/2/25,2015/8/11,2009/6/9,2009/2/17,2009/1/17"
22-74,7,"2022/3/26,2020/12/29,2019/4/29,2015/3/28,2014/10/30,2012/8/14,2011/6/18"
1-20-59,2,"2019/7/9,2014/8/26"
5-32-72,2,"2017/8/31,2011/8/2"
15-57-76,3,"2020/11/24,2015/12/29,2014/9/20"
6-52-86,3,"2016/12/12,2015/10/31,2011/1/22"
2-9-76,2,"2021/6/8,2020/11/26"
7-27-28-45-57-75,1,2011/7/12
12-44,9,"2021/4/15,2018/6/12,2016/7/9,2016/5/28,2015/1/22,2013/10/19,2011/9/1,2010/12/23,2010/2/23"
60-74,4,"2022/2/15,2020/12/29,2017/3/18,2015/3/28"
8-44-86-88,2,"2021/7/1,2019/12/17"
50-55,12,"2022/4/14,2019/2/28,2016/11/10,2016/4/12,2015/12/19,2015/9/22,2014/11/13,2011/3/5,2011/1/18,2010/6/26,2010/5/18,2009/5/16"
33-61-83,2,"2015/5/28,2015/4/2"
15-26-77,2,"2021/10/7,2015/12/31"
39-87,6,"2019/1/10,2015/12/1,2015/1/20,2013/10/12,2012/3/20,2012/2/21"
14-23-24-44-77-86,1,2016/12/22
16-17-72,2,"2017/10/19,2011/11/22"
66-86,9,"2022/10/29,2022/7/5,2019/1/10,2018/5/31,2018/2/27,2016/8/30,2015/7/9,2012/7/12,2010/8/3"
3-44-73,2,"2020/5/21,2014/2/1"
7-57-87,2,"2021/2/23,2009/7/9"
7-34-48-50-53-67,1,2022/6/14
75-81,13,"2022/9/22,2021/1/2,2017/7/29,2017/7/4,2016/11/8,2016/4/2,2013/11/2,2013/9/21,2013/9/19,2012/6/7,2012/3/13,2012/2/7,2011/11/3"
26-51-52-54-70-88,1,2014/2/25
18-39-45-48-53-64,1,2020/11/3
18-76-88,2,"2019/4/20,2017/4/18"
21-31-69,3,"2022/6/7,2017/3/16,2016/2/4"
8-11-46-47-72-81,1,2021/4/22
9-11-75,2,"2014/2/13,2009/11/7"
24-35,5,"2022/7/7,2022/4/2,2017/10/31,2016/11/29,2010/9/18"
14-42-52,2,"2021/9/14,2013/8/8"
3-58-66,2,"2022/3/5,2022/1/10"
15-36-42,2,"2020/9/12,2019/7/13"
2-49-77,2,"2017/9/2,2009/8/18"
3-32,6,"2021/3/2,2019/12/31,2016/5/7,2015/5/16,2010/6/19,2009/2/12"
27-40-86,2,"2021/6/3,2014/4/29"
2-6-39,2,"2018/6/26,2016/1/28"
26-68-73-75-76-86,1,2011/1/8
28-56-72,2,"2021/2/18,2011/12/10"
6-19,10,"2022/1/15,2020/7/11,2018/5/5,2014/1/23,2013/11/23,2012/12/20,2012/3/1,2011/9/15,2011/7/2,2010/7/29"
49-51-58,2,"2014/3/11,2010/2/18"
1-32-34-58-64-86,1,2016/5/26
47-55-81,2,"2022/5/10,2018/4/7"
19-26-56-74-77-82,1,2019/11/19
22-38-74-81-84-89,1,2022/3/26
11-70-85,3,"2017/9/7,2014/4/24,2013/8/31"
20-45-55,2,"2020/11/17,2016/3/1"
24-32-41-56-76-80,1,2022/3/12
28-38-43,2,"2022/7/16,2021/1/19"
36-45-88,2,"2015/11/26,2009/7/25"
29-50-72,2,"2020/1/16,2009/8/11"
14-79,15,"2020/12/31,2018/8/11,2018/5/5,2017/4/29,2017/3/18,2014/9/11,2014/6/21,2014/2/6,2013/8/19,2013/8/8,2012/5/5,2012/2/25,2011/4/26,2010/4/20,2010/3/13"
20-36-40-42-63-86,1,2019/8/24
25-54-84,3,"2020/12/28,2016/5/12,2013/6/1"
32-49-52,2,"2015/9/19,2011/3/22"
21-32-47-61-67-68,1,2019/10/29
2-39,10,"2022/5/19,2020/11/26,2019/1/10,2018/8/21,2018/6/26,2016/1/28,2015/8/6,2015/1/20,2013/8/24,2013/6/11"
23-61,8,"2018/7/31,2017/5/23,2016/8/6,2013/11/14,2012/9/25,2011/2/12,2010/7/8,2009/2/7"
28-43-59,3,"2022/10/22,2021/3/13,2017/5/2"
43-47,6,"2022/3/3,2019/6/15,2018/2/8,2011/12/29,2011/3/19,2010/2/27"
57-77,11,"2021/12/18,2018/3/1,2017/9/2,2017/5/6,2015/1/22,2014/1/2,2012/8/7,2012/5/5,2012/2/28,2011/11/10,2011/2/19"
7-44,6,"2022/8/23,2022/7/21,2015/8/29,2015/4/9,2014/10/23,2013/9/12"
31-78,11,"2018/12/4,2016/11/15,2016/8/11,2015/7/7,2015/5/5,2015/4/30,2013/11/28,2012/6/9,2011/12/10,2011/8/13,2010/5/22"
10-11-21-54-73-82,1,2014/12/6
35-51,9,"2022/2/10,2020/10/8,2020/6/25,2018/10/27,2016/1/19,2014/3/8,2011/7/14,2009/7/14,2009/2/26"
39-43,7,"2021/6/17,2020/5/5,2018/8/28,2017/12/19,2011/6/11,2010/5/4,2009/3/21"
24-34-87,2,"2020/10/17,2010/3/4"
47-54,8,"2020/9/15,2019/6/6,2018/4/12,2012/1/3,2011/2/10,2010/11/13,2010/8/12,2010/7/24"
25-35-51-52-58-59,1,2022/2/10
34-64-65,2,"2017/5/27,2009/10/22"
15-65-75,3,"2022/9/22,2017/5/4,2009/3/14"
5-44-51,2,"2016/5/28,2011/6/7"
22-66-90,2,"2017/2/21,2014/7/31"
56-74,8,"2019/11/19,2018/9/20,2018/6/4,2018/5/19,2014/7/29,2012/8/4,2012/2/18,2011/2/22"
18-23-34-37-67-68,1,2011/8/18
4-30-31-45-49-85,1,2016/6/21
52-71-74,2,"2013/3/30,2011/11/8"
70-71,8,"2020/7/14,2018/2/13,2015/8/17,2015/3/10,2014/10/4,2011/2/1,2010/9/11,2009/3/26"
7-88-90,2,"2018/3/17,2013/9/3"
81-85,7,"2021/11/6,2017/7/4,2017/7/1,2016/9/27,2016/7/12,2014/6/21,2009/5/19"
22-90,9,"2021/4/1,2020/12/24,2017/9/30,2017/6/3,2017/2/21,2016/11/12,2015/1/10,2014/7/31,2010/5/15"
22-43-65,3,"2017/12/19,2016/7/5,2011/5/7"
8-36-39-40-48-50,1,2018/11/5
4-23-47,2,"2019/6/15,2009/5/12"
48-61,10,"2018/11/20,2017/11/28,2017/10/5,2016/10/18,2015/6/27,2015/6/11,2015/3/3,2012/12/13,2010/3/4,2009/12/15"
8-27-54-62-82-83,1,2017/4/27
57-73-82,2,"2018/8/11,2017/5/6"
30-40-52,2,"2016/6/11,2011/5/3"
7-19,7,"2021/11/16,2021/2/9,2015/3/21,2011/3/24,2010/8/7,2010/7/29,2009/5/5"
8-43,6,"2020/3/10,2019/12/14,2019/1/15,2016/7/2,2014/7/8,2014/6/26"
23-37,8,"2020/1/4,2018/3/22,2012/5/19,2012/3/8,2011/8/18,2010/11/9,2010/4/1,2009/8/1"
19-63,6,"2021/1/23,2019/4/23,2017/11/30,2013/7/18,2010/2/20,2009/9/17"
5-61-70,2,"2020/10/3,2013/8/10"
28-47,2,"2019/3/30,2018/4/12"
8-22-53-65-75-86,1,2022/3/15
12-30-89,3,"2018/11/27,2016/2/18,2009/4/2"
27-44-46-50-54-69,1,2014/5/5
6-15-89,2,"2018/11/27,2017/9/28"
41-45-57,2,"2015/9/29,2010/7/22"
50-89,4,"2021/10/16,2020/1/28,2018/3/8,2016/4/12"
2-10-71,2,"2018/1/13,2016/12/3"
10-53,6,"2021/6/29,2018/10/9,2015/2/5,2014/8/9,2013/12/12,2013/6/8"
18-47-66,2,"2022/3/10,2015/12/12"
23-43,7,"2021/11/23,2019/6/15,2014/8/30,2012/1/31,2011/10/11,2010/7/8,2010/5/4"
16-29-57,2,"2018/9/13,2017/4/4"
56-73-90,2,"2014/4/1,2012/1/19"
43-68-72-85,2,"2021/12/4,2018/4/21"
2-27-34,2,"2016/2/16,2009/4/4"
7-14-17,2,"2015/8/22,2012/11/5"
59-87,4,"2021/2/23,2019/2/21,2016/4/7,2011/6/16"
8-62,12,"2022/8/13,2021/7/10,2020/1/30,2019/3/7,2017/4/27,2017/1/7,2016/5/31,2016/3/3,2015/10/6,2015/7/4,2014/6/26,2010/2/2"
3-22-31-42-73-88,1,2014/6/24
22-61-85,2,"2016/4/30,2012/5/2"
11-28-32-48-54-59,1,2017/6/8
11-48-52-70,2,"2016/1/16,2014/7/12"
4-48,7,"2020/9/22,2019/12/3,2019/11/7,2016/8/23,2016/7/19,2009/12/15,2009/8/25"
7-52,8,"2022/8/23,2020/10/1,2019/11/28,2019/9/14,2019/9/5,2018/12/10,2018/3/17,2014/12/4"
33-46-58,2,"2022/10/11,2014/12/24"
3-81-88,2,"2015/8/25,2013/6/4"
27-39,11,"2021/5/20,2020/9/19,2017/1/5,2015/11/17,2015/8/6,2014/11/11,2013/12/19,2013/8/24,2013/4/18,2013/1/26,2010/1/12"
58-66,11,"2022/3/5,2022/1/10,2019/3/12,2017/10/19,2014/11/18,2014/7/22,2014/3/18,2012/5/12,2011/10/8,2010/3/27,2009/9/3"
29-37-42-52-54-59,1,2009/10/29
12-26-69,2,"2022/10/15,2010/10/23"
20-28-56-62-63-76,1,2012/2/23
18-41-51-56-72-76,1,2016/3/19
15-30,9,"2022/9/22,2021/3/25,2019/10/19,2018/11/27,2018/10/4,2016/4/21,2016/3/1,2014/8/19,2012/8/28"
10-20,8,"2022/10/6,2021/12/30,2021/4/24,2020/7/11,2019/3/30,2013/12/10,2013/10/12,2011/2/8"
25-47-62-87,2,"2016/10/8,2012/10/4"
21-25-47-62-79-87,1,2012/10/4
20-86,6,"2022/4/7,2021/12/30,2019/8/24,2015/8/18,2010/6/17,2009/4/18"
2-25-31-38-45-84,1,2009/5/2
41-62-77-79-81-84,1,2018/5/10
2-34-54,2,"2011/7/7,2010/11/13"
19-48-73,2,"2022/1/15,2013/3/16"
1-24,8,"2021/7/27,2019/8/22,2014/12/20,2014/9/16,2014/3/15,2012/10/16,2011/12/6,2010/6/5"
12-21,6,"2018/12/13,2018/8/16,2017/9/30,2014/3/29,2011/4/19,2011/1/4"
38-66-72,2,"2018/7/3,2014/11/18"
4-57-75,2,"2020/8/13,2013/9/26"
5-33-44-46-66-76,1,2013/12/14
4-16-24-42-51-84,1,2018/11/6
16-71,11,"2020/6/4,2017/10/19,2016/3/10,2015/10/29,2014/8/23,2013/5/16,2013/3/2,2012/5/10,2011/10/29,2010/12/23,2010/9/11"
42-90,9,"2022/5/28,2019/9/26,2019/7/13,2014/4/19,2013/3/30,2011/8/4,2011/4/28,2011/3/1,2010/4/13"
48-67-85,2,"2022/2/17,2020/3/5"
49-89,4,"2018/12/20,2018/1/30,2011/7/9,2010/2/13"
41-79-84,2,"2018/5/10,2017/4/29"
21-38-41-43-52-77,1,2010/11/27
7-60-79,2,"2021/9/4,2009/7/9"
2-25-37-54-57-87,1,2021/7/15
46-75,8,"2020/1/21,2018/3/6,2014/8/30,2012/11/10,2012/10/30,2010/6/1,2010/5/13,2009/3/14"
29-85,11,"2020/9/17,2018/9/22,2018/1/18,2017/9/9,2017/9/7,2016/9/3,2016/7/28,2016/5/3,2016/2/20,2013/7/16,2012/9/22"
37-59-90,2,"2019/5/14,2010/4/15"
16-21-53-74-79-80,1,2017/3/14
19-37-45-51-82-83,1,2017/5/11
2-3,5,"2021/8/17,2011/12/31,2011/2/22,2009/6/23,2009/4/4"
37-41,6,"2021/12/16,2021/8/5,2014/9/18,2013/6/11,2010/11/9,2010/7/22"
22-46-52,2,"2017/8/17,2014/4/10"
3-34-82,2,"2016/5/7,2013/2/19"
2-16-30-39-51-79,1,2018/8/21
9-38,6,"2021/12/7,2020/8/11,2015/10/24,2010/10/14,2010/6/26,2009/4/16"
50-62-70,3,"2013/8/31,2011/4/12,2009/12/9"
9-30-50-57-62-70,1,2009/12/9
3-15-80,2,"2022/8/27,2022/3/8"
13-60,7,"2021/11/13,2020/11/12,2020/6/27,2017/9/26,2017/2/16,2015/2/14,2011/10/25"
37-77,13,"2022/5/5,2022/3/24,2022/1/20,2021/1/2,2019/11/7,2019/9/28,2018/9/27,2016/8/4,2015/9/26,2014/9/18,2011/12/17,2011/1/15,2009/5/28"
